manufacturer,type,model,option,disp,hp,city_mpg,high_mpg,price,fuel,weight,class,origin
랜드로버,중형,레인지로버 벨라,D300 R-DYNAMIC,2993,300,10.9,16.2,11200,디젤,,SUV,nonkor
랜드로버,중형,레인지로버 벨라,P380 R-DYNAMIC,2995,380,7,9.1,11280,가솔린,,SUV,nonkor
랜드로버,대형,레인지로버 LWB,SDV8,4367,339,7,9.7,21820,디젤,2765,SUV,nonkor
랜드로버,대형,레인지로버 LWB,5.0SC,5000,525,4.7,7.5,23820,가솔린,2680,SUV,nonkor
랜드로버,대형,레인지로버,SDV8,4367,339,7,9.7,18640,디젤,2685,SUV,nonkor
랜드로버,대형,레인지로버,5.0SC,5000,525,4.7,7.5,20430,가솔린,2625,SUV,nonkor
랜드로버,중형,디스커버리 스포츠,TD4 150PS,1999,150,10.3,12.6,5940,디젤,2020,SUV,nonkor
랜드로버,중형,디스커버리 스포츠,TD4 180PS,1999,180,10.9,13.9,6520,디젤,2030,SUV,nonkor
랜드로버,준대형,디스커버리,SD4,1999,240,8.1,10.2,8000,디젤,2335,SUV,nonkor
랜드로버,준대형,디스커버리,SD6,2993,306,,,8800,디젤,2450,SUV,nonkor
랜드로버,준대형,레인지로버 스포츠 플러그인 하이브리드,P400e,1997,300,,,15250,하이브리드,2539,SUV,nonkor
렉서스,중형,NX 하이브리드,NX 300h,2494,152,12.4,11.5,5820,하이브리드,1900,SUV,nonkor
렉서스,준중형,UX 하이브리드,UX 250h,1987,146,,,4510,하이브리드,1605,SUV,nonkor
렉서스,준중형,UX 하이브리드,UX 250h AWD,1987,146,16.5,15.3,5410,하이브리드,1660,SUV,nonkor
링컨,중형,노틸러스,2.7 가솔린,2694,333,7.5,10.9,5870,가솔린,2195,SUV,nonkor
마세라티,준대형,르반떼,르반떼,2979,350,,,12820,가솔린,2265,SUV,nonkor
마세라티,준대형,르반떼,르반떼 S,2979,430,,,15780,가솔린,2265,SUV,nonkor
메르세데스-벤츠,준대형,GLE 클래스,GLE 300d,1950,245,10,11.4,9030,디젤,,SUV,nonkor
메르세데스-벤츠,준대형,GLE 클래스,GEL 450,2999,367,8.3,9.5,11050,가솔린,,SUV,nonkor
메르세데스-벤츠,중형,G63 AMG,AMG G 63,3982,585,5.7,6.6,21190,가솔린,2560,SUV,nonkor
메르세데스-벤츠,중형,GLC 쿠페,GLC 300 4MATIC,1991,245,8.7,11.1,7390,가솔린,1825,SUV,nonkor
미니,소형,컨트리맨 JCW,JCW 올포 A/T,1998,231,9,12.2,5920,디젤,1655,SUV,nonkor
볼보,중형,V60 크로스컨트리,T5,1969,254,8.8,12.4,5280,가솔린,1840,SUV,nonkor
쉐보레,준대형,트래버스,3.6 가솔린,3564,314,7.1,10.3,4520,가솔린,,SUV,nonkor
시트로엥,소형,C3 에어크로스,1.5 BlueHDi,1499,120,13.4,15.1,2925,디젤,,SUV,nonkor
시트로엥,준중형,C5 에어크로스,1.5 디젤,1499,130,13.6,15.1,3943,디젤,1585,SUV,nonkor
시트로엥,준중형,C5 에어크로스,2.0 디젤,1997,177,11.8,14,4734,디젤,1685,SUV,nonkor
시트로엥,소형,뉴 C4 칵투스(EAT6),1.5 Blue Hdi,1499,120,14.4,17.1,2944,디젤,1265,SUV,nonkor
아우디,준대형,Q7,45 TFSI 콰트로,1984,252,7.7,10,7848,가솔린,2065,SUV,nonkor
인피니티,중형,QX50,2.0 가솔린,1997,272,,,5190,가솔린,1740,SUV,nonkor
인피니티,중형,QX50,2.0 가솔린 AWD,1997,272,,,5830,가솔린,1870,SUV,nonkor
인피니티,준대형,QX60,3.5 가솔린,3498,299,7.9,10.5,5920,가솔린,2050,SUV,nonkor
인피니티,준대형,QX60,3.5 가솔린 AWD,3498,299,7.7,10.3,6340,가솔린,2110,SUV,nonkor
재규어,중형,F-페이스,20D,1999,180,11.7,14.3,7110,디젤,1845,SUV,nonkor
재규어,중형,F-페이스,30D,2993,300,10.4,13.1,12600,디젤,1954,SUV,nonkor
재규어,준중형,E-페이스,D180,1999,180,11,14.7,5450,디젤,,SUV,nonkor
